,Sr. No.,State,District,Policestation,Year,FIR_No.,Registration_Date,Section
79,80,MAHARASHTRA,THANE CITY,BADLAPUR,2023,31,25-01-2023 01:11,Indian Penal Code 180 - 243;
80,81,MAHARASHTRA,THANE CITY,BADLAPUR,2023,30,25-01-2023 00:45,Indian Penal Code 180 - 245;
81,82,MAHARASHTRA,THANE CITY,BADLAPUR,2023,29,24-01-2023 23:59,"Maharashtra Darubandi Act, 1979 - 65 (E);"
82,83,MAHARASHTRA,THANE CITY,BADLAPUR,2023,28,24-01-2023 17:43,Indian Penal Code 180 - 379;
83,84,MAHARASHTRA,THANE CITY,BADLAPUR,2023,27,24-01-2023 01:16,"Indian Penal Code 180 - 326,507;"
84,85,MAHARASHTRA,THANE CITY,BADLAPUR,2023,26,23-01-2023 23:11,"Indian Penal Code 180 - 324,507,507;"
85,86,MAHARASHTRA,THANE CITY,BADLAPUR,2023,25,23-01-2023 12:59,"Indian Penal Code 180 - 37,39,506 (2);"
86,87,MAHARASHTRA,THANE CITY,BADLAPUR,2023,24,21-01-2023 17:09,"Indian Penal Code 180 - 323,326,506 (2), 507;"
87,88,MAHARASHTRA,THANE CITY,BADLAPUR,2023,23,21-01-2023 02:36,Indian Penal Code 180 - 373;
88,89,MAHARASHTRA,THANE CITY,BADLAPUR,2023,22,20-01-2023 20:08,"Mahiti Tantra Gyan Act, 2000 - 4 (E);"
89,90,MAHARASHTRA,THANE CITY,BADLAPUR,2023,21,18-01-2023 17:59,"Indian Penal Code 180 - 37,620;"
90,91,MAHARASHTRA,THANE CITY,BADLAPUR,2023,20,18-01-2023 11:12,"Indian Penal Code 180 - 323,326,507;"
91,92,MAHARASHTRA,THANE CITY,BADLAPUR,2023,19,16-01-2023 23:28,"Indian Penal Code 180 - 370,656;"
92,93,MAHARASHTRA,THANE CITY,BADLAPUR,2023,18,15-01-2023 16:54,"Indian Penal Code 180 - 370, 656,656;"
93,94,MAHARASHTRA,THANE CITY,BADLAPUR,2023,17,15-01-2023 02:22,Indian Penal Code 180 - 373;
94,95,MAHARASHTRA,THANE CITY,BADLAPUR,2023,16,14-01-2023 18:10,Indian Penal Code 180 - 379;
95,96,MAHARASHTRA,THANE CITY,BADLAPUR,2023,15,14-01-2023 09:05,"Indian Penal Code 180 - 249, 337,337; Motor Vehicle Act, 1979 - 184;"
96,97,MAHARASHTRA,THANE CITY,BADLAPUR,2023,14,13-01-2023 21:48,Mahiti Tantra Gyan (Reform) Act 2007 - 66D;
97,98,MAHARASHTRA,THANE CITY,BADLAPUR,2023,13,13-01-2023 18:46,"Indian Penal Code 180 - 249, 337,337; Motar Vehicle Act, 1956 - 184;"
98,99,MAHARASHTRA,THANE CITY,BADLAPUR,2023,12,11-01-2023 16:01,Indian Penal Code 180 - 379;
99,100,MAHARASHTRA,THANE CITY,BADLAPUR,2023,11,11-01-2023 11:35,Indian Penal Code 180 - 379;
100,101,MAHARASHTRA,THANE CITY,BADLAPUR,2023,10,11-01-2023 09:29,"Indian Penal Code 180 - 370,656;"
101,102,MAHARASHTRA,THANE CITY,BADLAPUR,2023,8,10-01-2023 17:11,"Indian Penal Code 180 - 37,498 -A;"
102,103,MAHARASHTRA,THANE CITY,BADLAPUR,2023,7,09-01-2023 14:35,"Indian Penal Code 180 - 370,656;"
103,104,MAHARASHTRA,THANE CITY,BADLAPUR,2023,5,08-01-2023 20:52,Indian Penal Code 180 - 379;
104,105,MAHARASHTRA,THANE CITY,BADLAPUR,2023,4,07-01-2023 02:33,Indian Penal Code 180 - 373;
105,106,MAHARASHTRA,THANE CITY,BADLAPUR,2023,3,06-01-2023 22:36,"Indian Penal Code 180 - 249, 337; Motor Vehicle Act, 1979 - 184;"
106,107,MAHARASHTRA,THANE CITY,BADLAPUR,2023,2,05-01-2023 19:50,Indian Penal Code 180 - 379;
107,108,MAHARASHTRA,THANE CITY,BADLAPUR,2023,1,04-01-2023 23:33,"Indian Penal Code 180 - 183,149, 6,507,507;"
108,109,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,29,01-02-2023 23:02,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
109,110,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,28,01-02-2023 13:16,Indian Penal Code 180 - 379;
110,111,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,27,29-01-2023 13:16,Indian Penal Code 180 - 379;
111,112,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,26,28-01-2023 22:16,"Indian Penal Code 170 - 18,37; Maharashtra Police Act, 1951 - 135,37 (3);"
112,113,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,25,28-01-2023 16:51,"Indian Penal Code 180 - 370, 656,656;"
113,114,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,24,26-01-2023 03:30,"Maharashtra Police Act, 1951 - 142;"
114,115,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,23,25-01-2023 01:16,"Maharashtra Darubandi Act, 1979 - 65 (E);"
115,116,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,21,23-01-2023 21:25,Indian Penal Code 180 - 379;
116,117,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,19,20-01-2023 01:54,"Indian Penal Code 180 - 249, 624; Maharashtra Motar Vehicle Rules, 1989 - 184;"
117,118,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,18,19-01-2023 14:08,"Indian Penal Code 180 - 306,37;"
118,119,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,17,17-01-2023 16:20,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
119,120,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,16,15-01-2023 14:37,Indian Penal Code 180 - 373;
120,121,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,15,14-01-2023 22:47,Indian Penal Code 180 - 609;
121,122,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,14,14-01-2023 16:34,"The Indian Penal Code 180 - 249, 337,337,626; Maharashtra Motar Vehicle Rules, 1989 - 184;"
122,123,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,13,12-01-2023 19:45,"Maharashtra Darubandi Act, 1979 - 65 (E);"
123,124,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,12,12-01-2023 13:57,Indian Penal Code 180 - 379;
124,125,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,11,11-01-2023 21:02,"Indian Penal Code 180 - 182,14,341,507;"
125,126,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,10,11-01-2023 19:55,Indian Penal Code 180 - 379;
126,127,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,8,07-01-2023 15:01,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
127,128,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,6,05-01-2023 21:44,"Mahiti Tantra Gyan Act, 2000 - 4 (E);"
128,129,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,4,03-01-2023 18:56,"Indian Penal Code 180 - 37,620;"
129,130,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,3,03-01-2023 12:19,Indian Penal Code 180 - 360;
130,131,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,2,02-01-2023 22:41,"Maharashtra Police Act, 1951 - 142;"
131,132,MAHARASHTRA,THANE CITY,BADLAPUR WEST,2023,1,01-01-2023 16:21,"Indian Penal Code 180 - 337,370,624,656,511;"
132,133,MAHARASHTRA,THANE CITY,BAZARPETH,2023,28,01-02-2023 04:09,"Indian Penal Code 180 - 323,326,34,507;"
133,134,MAHARASHTRA,THANE CITY,BAZARPETH,2023,27,01-02-2023 03:29,"Indian Penal Code 180 - 323,326,34,626,507;"
134,135,MAHARASHTRA,THANE CITY,BAZARPETH,2023,26,31-01-2023 22:32,Gungikar drug deeds and psychiatrics
135,136,MAHARASHTRA,THANE CITY,BAZARPETH,2023,25,31-01-2023 21:42,"Maharashtra Police Act, 1951 - 142;"
136,137,MAHARASHTRA,THANE CITY,BAZARPETH,2023,24,31-01-2023 21:30,Gungikar drug deeds and psychiatrics
137,138,MAHARASHTRA,THANE CITY,BAZARPETH,2023,23,31-01-2023 20:28,"Maharashtra Darubandi Act, 1979 - 65 (f);"
138,139,MAHARASHTRA,THANE CITY,BAZARPETH,2023,22,30-01-2023 22:15,Indian Penal Code 180 - 379;
139,140,MAHARASHTRA,THANE CITY,BAZARPETH,2023,21,29-01-2023 15:35,"Indian Penal Code 180 - 370, 657,511;"
140,141,MAHARASHTRA,THANE CITY,BAZARPETH,2023,20,25-01-2023 00:24,"Establishment Act, 1959 - 25,4; Maharashtra Police Act, 1951 - 135,37 (1);"
141,142,MAHARASHTRA,THANE CITY,BAZARPETH,2023,19,24-01-2023 04:22,Gungikar drug deeds and psychiatrics
142,143,MAHARASHTRA,THANE CITY,BAZARPETH,2023,18,23-01-2023 20:32,Maharashtra Malmatta Motivation Restrictions Act 195 - 3 (one);
143,144,MAHARASHTRA,THANE CITY,BAZARPETH,2023,17,23-01-2023 15:57,Indian Penal Code 180 - 373;
144,145,MAHARASHTRA,THANE CITY,BAZARPETH,2023,16,23-01-2023 14:57,"Indian Penal Code 180 - 323,326,34,507;"
145,146,MAHARASHTRA,THANE CITY,BAZARPETH,2023,15,20-01-2023 14:23,"Indian Penal Code 180 - 249, 507,507;"
146,147,MAHARASHTRA,THANE CITY,BAZARPETH,2023,14,18-01-2023 19:56,"Indian Penal Code 180 - 370,626;"
147,148,MAHARASHTRA,THANE CITY,BAZARPETH,2023,13,18-01-2023 15:13,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
148,149,MAHARASHTRA,THANE CITY,BAZARPETH,2023,12,14-01-2023 19:06,Indian Penal Code 180 - 379;
149,150,MAHARASHTRA,THANE CITY,BAZARPETH,2023,11,13-01-2023 18:24,Indian Penal Code 180 - 379;
150,151,MAHARASHTRA,THANE CITY,BAZARPETH,2023,10,10-01-2023 19:50,Indian Penal Code 180 - 379;
151,152,MAHARASHTRA,THANE CITY,BAZARPETH,2023,9,10-01-2023 16:07,"Indian Penal Code 180 - 37,392;"
152,153,MAHARASHTRA,THANE CITY,BAZARPETH,2023,8,10-01-2023 15:45,"Indian Penal Code 180 - 37,399;"
153,154,MAHARASHTRA,THANE CITY,BAZARPETH,2023,7,10-01-2023 15:01,"Indian Penal Code 180 - 37,39,511;"
154,155,MAHARASHTRA,THANE CITY,BAZARPETH,2023,6,08-01-2023 14:45,Indian Penal Code 180 - 373;
155,156,MAHARASHTRA,THANE CITY,BAZARPETH,2023,5,06-01-2023 21:28,"Copy Rights Act, 1956 (improved act 1979 Aani 1949) - 51,63;"
156,157,MAHARASHTRA,THANE CITY,BAZARPETH,2023,4,05-01-2023 20:53,Indian Penal Code 180 - 243;
157,158,MAHARASHTRA,THANE CITY,BAZARPETH,2023,3,03-01-2023 21:34,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
158,159,MAHARASHTRA,THANE CITY,BAZARPETH,2023,2,03-01-2023 19:54,"Indian Penal Code 180 - 37,607,620;"
159,160,MAHARASHTRA,THANE CITY,BAZARPETH,2023,1,01-01-2023 12:08,"Indian Penal Code 180 - 399; Maharashtra Police Act, 1951 - 135,37 (1);"
160,161,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,53,01-02-2023 20:26,Indian Penal Code 180 - 379;
161,162,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,52,01-02-2023 18:52,Indian Penal Code 180 - 243;
162,163,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,51,01-02-2023 18:30,Indian Penal Code 180 - 243;
163,164,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,50,01-02-2023 17:50,Indian Penal Code 180 - 243;
164,165,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,49,01-02-2023 17:03,Indian Penal Code 180 - 243;
165,166,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,48,31-01-2023 18:29,Indian Penal Code 180 - 379;
166,167,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,47,31-01-2023 09:00,"Indian Penal Code 180 - 323,326,34,507;"
167,168,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,45,31-01-2023 02:37,Indian Penal Code 180 - 373;
168,169,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,43,29-01-2023 22:44,"Indian Penal Code 180 - 323,326,507,507;"
169,170,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,42,29-01-2023 21:14,"Indian Penal Code 180 - 323,326,507,507;"
170,171,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,41,28-01-2023 17:06,"Indian Penal Code 180 - 370, 656,656;"
171,172,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,40,27-01-2023 21:31,Indian Penal Code 180 - 243;
172,173,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,39,27-01-2023 18:52,"Indian Penal Code 180 - 323,507,507; Candius Personal Rights Act, 2016 - 92 (A), 92 (B);"
173,174,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,38,27-01-2023 09:18,"Indian Penal Code 180 - 323,326,507;"
174,175,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,37,27-01-2023 09:02,"Indian Penal Code 180 - 323,326,34;"
175,176,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,36,26-01-2023 01:27,Indian Penal Code 180 - 373;
176,177,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,35,25-01-2023 23:16,"Indian Penal Code 180 - 323,37,507,507; Alpinine Justice (Mulanchi Kaji and Protection) Qaeda, 2015 - 75;"
177,178,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,34,25-01-2023 15:00,"Indian Penal Code 180 - 329, 652,507;"
178,179,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,32,24-01-2023 16:52,Indian Penal Code 180 - 182;
179,180,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,31,24-01-2023 13:18,Indian Penal Code 180 - 373;
180,181,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,30,23-01-2023 02:21,"Indian Penal Code 180 - 370, 656,656;"
181,182,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,29,21-01-2023 21:28,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
182,183,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,28,20-01-2023 05:53,Indian Penal Code 180 - 373;
183,184,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,27,20-01-2023 05:32,Indian Penal Code 180 - 379;
184,185,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,22,16-01-2023 22:04,"Indian Penal Code 180 - 370,61;"
185,186,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,21,16-01-2023 04:46,"Indian Penal Code 180 - 18,290,291;"
186,187,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,20,16-01-2023 02:00,Indian Penal Code 180 - 304 -A;
187,188,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,19,11-01-2023 22:11,Indian Penal Code 180 - 373;
188,189,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,18,11-01-2023 02:05,"Maharashtra Police Act, 1951 - 122;"
189,190,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,17,11-01-2023 01:14,Indian Penal Code 180 - 373;
190,191,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,16,11-01-2023 00:44,"Maharashtra Jugar Restrictive Act, 18 - 4,5;"
191,192,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,15,10-01-2023 17:26,"Indian Penal Code 180 - 370,656;"
192,193,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,14,09-01-2023 21:07,"Indian Penal Code 180 - 370,656;"
193,194,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,13,08-01-2023 20:29,"Indian Penal Code 180 - 323,37,507,507;"
194,195,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,12,08-01-2023 18:35,"Indian Penal Code 180 - 306,37;"
195,196,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,11,07-01-2023 23:41,"Indian Penal Code 180 - 323,326,507,507;"
196,197,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,10,07-01-2023 17:34,"Indian Penal Code 180 - 370,656;"
197,198,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,9,04-01-2023 07:17,"Indian Penal Code 180 - 323,326,626,507;"
198,199,MAHARASHTRA,THANE CITY,BHIWANDI CITY,2023,8,04-01-2023 00:00,"Indian Penal Code 180 - 37,371;"
